,symbol,price,action,reason,spot_price
2025-06-02 10:34:44.756964+05:30,NSE:NIFTY2561224850CE,212.0,-1,Entry - Short Call Spread - Sell Call,24591.0
2025-06-02 10:34:44.756965+05:30,NSE:NIFTY2561225100CE,128.0,1,Entry - Short Call Spread - Buy Call,24591.0
2025-06-05 12:16:10.953564+05:30,NSE:NIFTY2561224850CE,241.4,1,Exit - Supertrend Signal Change - Buy Back Call,24876.45
2025-06-05 12:16:10.953565+05:30,NSE:NIFTY2561225100CE,125.1,-1,Exit - Supertrend Signal Change - Sell Call,24876.45
2025-06-05 13:16:14.101228+05:30,NSE:NIFTY2561224650PE,116.25,-1,Entry - Long Put Spread - Sell Put,24779.7
2025-06-05 13:16:14.101229+05:30,NSE:NIFTY2561224350PE,46.05,1,Entry - Long Put Spread - Buy Put,24779.7
2025-06-12 13:58:55.803360+05:30,NSE:NIFTY2561224650PE,1.4,1,Exit - Supertrend Signal Change - Buy Back Put,24897.5
2025-06-12 13:58:55.803361+05:30,NSE:NIFTY2561224350PE,0.35,-1,Exit - Supertrend Signal Change - Sell Put,24897.5
2025-06-12 14:58:58.128044+05:30,NSE:NIFTY2561925150CE,85.75,-1,Entry - Short Call Spread - Sell Call,24905.55
2025-06-12 14:58:58.128045+05:30,NSE:NIFTY2561925400CE,31.55,1,Entry - Short Call Spread - Buy Call,24905.55
