2025-05-12 03:47:59,555 - Starting Nifty Option Selling Strategy
2025-05-12 03:48:58,636 - Spot Price: 24555.05, Supertrend: Red, Above EMA
2025-05-12 03:49:30,532 - Spot Price: 24549.8, Supertrend: Red, Above EMA
2025-05-12 03:50:01,941 - Spot Price: 24565.2, Supertrend: Red, Above EMA
2025-05-12 03:50:33,244 - Spot Price: 24583.65, Supertrend: Red, Above EMA
2025-05-12 03:51:04,632 - Spot Price: 24583.4, Supertrend: Red, Above EMA
2025-05-12 03:51:36,326 - Spot Price: 24573.1, Supertrend: Red, Above EMA
2025-05-12 03:52:08,618 - Spot Price: 24573.65, Supertrend: Red, Above EMA
2025-05-12 03:52:39,835 - Spot Price: 24575.8, Supertrend: Red, Above EMA
2025-05-12 03:53:11,011 - Spot Price: 24579.6, Supertrend: Red, Above EMA
2025-05-12 03:53:42,505 - Spot Price: 24563.75, Supertrend: Red, Above EMA
2025-05-12 03:54:13,745 - Spot Price: 24570.85, Supertrend: Red, Above EMA
2025-05-12 03:54:45,453 - Spot Price: 24576.7, Supertrend: Red, Above EMA
2025-05-12 03:55:16,909 - Spot Price: 24575.45, Supertrend: Red, Above EMA
2025-05-12 03:55:48,071 - Spot Price: 24585.8, Supertrend: Red, Above EMA
2025-05-12 03:56:19,457 - Spot Price: 24579.2, Supertrend: Red, Above EMA
2025-05-12 03:56:51,072 - Spot Price: 24578.6, Supertrend: Red, Above EMA
2025-05-12 03:57:22,357 - Spot Price: 24586.6, Supertrend: Red, Above EMA
2025-05-12 03:57:53,962 - Spot Price: 24590.35, Supertrend: Red, Above EMA
2025-05-12 03:58:25,331 - Spot Price: 24575.55, Supertrend: Red, Above EMA
2025-05-12 03:58:56,499 - Spot Price: 24581.2, Supertrend: Red, Above EMA
2025-05-12 03:59:28,040 - Spot Price: 24584.35, Supertrend: Red, Above EMA
2025-05-12 03:59:59,731 - Spot Price: 24596.6, Supertrend: Red, Above EMA
2025-05-12 04:00:31,098 - Spot Price: 24600.1, Supertrend: Red, Above EMA
2025-05-12 04:01:03,404 - Spot Price: 24587.45, Supertrend: Red, Above EMA
2025-05-12 04:01:35,113 - Spot Price: 24596.5, Supertrend: Red, Above EMA
2025-05-12 04:02:06,839 - Spot Price: 24601.05, Supertrend: Red, Above EMA
2025-05-12 04:02:39,066 - Spot Price: 24600.15, Supertrend: Red, Above EMA
2025-05-12 04:03:10,833 - Spot Price: 24618.3, Supertrend: Red, Above EMA
2025-05-12 04:03:42,020 - Spot Price: 24614.8, Supertrend: Red, Above EMA
2025-05-12 04:04:24,124 - Starting Nifty Option Selling Strategy
2025-05-12 04:04:26,122 - Spot Price: 24613.75, Supertrend: Red, Above EMA
2025-05-12 04:37:11,204 - Starting Nifty Option Selling Strategy
2025-05-12 04:37:12,894 - Spot Price: 24695.8, Supertrend: Red, Above EMA
2025-05-12 04:37:44,146 - Spot Price: 24688.0, Supertrend: Red, Above EMA
2025-05-12 04:38:15,450 - Spot Price: 24690.65, Supertrend: Red, Above EMA
2025-05-12 04:38:47,924 - Spot Price: 24685.5, Supertrend: Red, Above EMA
2025-05-12 04:39:19,623 - Spot Price: 24685.35, Supertrend: Red, Above EMA
2025-05-12 04:39:51,438 - Spot Price: 24685.3, Supertrend: Red, Above EMA
2025-05-12 04:40:22,782 - Spot Price: 24682.85, Supertrend: Red, Above EMA
2025-05-12 04:40:55,081 - Spot Price: 24685.85, Supertrend: Red, Above EMA
2025-05-12 04:41:26,318 - Spot Price: 24674.55, Supertrend: Red, Above EMA
2025-05-12 04:41:57,606 - Spot Price: 24680.25, Supertrend: Red, Above EMA
2025-05-12 04:42:29,162 - Spot Price: 24677.75, Supertrend: Red, Above EMA
2025-05-12 04:43:02,014 - Spot Price: 24675.05, Supertrend: Red, Above EMA
2025-05-12 04:43:32,197 - Starting Nifty Option Selling Strategy
2025-05-12 04:43:33,288 - Spot Price: 24674.2, Supertrend: Red, Above EMA
2025-05-12 04:43:33,597 - Spot Price: 24673.45, Supertrend: Red, Above EMA
2025-05-12 04:44:04,717 - Spot Price: 24675.05, Supertrend: Red, Above EMA
