2025-05-26 03:54:45,840 - Starting Nifty Option Selling Strategy
2025-05-26 03:54:57,242 - No existing trading data found for data-PAPER.pickle
2025-05-26 03:54:58,331 - Spot Price: 25017.35, Supertrend: Green, Above EMA
2025-05-26 03:54:58,331 - Buy signal detected
2025-05-26 03:54:59,450 - Selected put to sell: NSE:NIFTY2560524850PE with delta ~-0.39637045529226944
2025-05-26 03:54:59,450 - Selected put to buy: NSE:NIFTY2560524500PE with delta ~-0.25101582401251776
2025-05-26 03:54:59,451 - PAPER TRADE: BUY 75 NSE:NIFTY2560524500PE @ MARKET
2025-05-26 03:54:59,451 - PAPER TRADE: SELL 75 NSE:NIFTY2560524850PE @ MARKET
2025-05-26 03:54:59,457 - Entry: Sell Put NSE:NIFTY2560524850PE @ 206.95, Buy Put NSE:NIFTY2560524500PE @ 110.2
2025-05-26 03:55:31,250 - Spot Price: 25012.7, Supertrend: Green, Above EMA
2025-05-26 03:56:02,332 - Spot Price: 25023.85, Supertrend: Green, Above EMA
2025-05-26 03:56:34,125 - Spot Price: 25031.45, Supertrend: Green, Above EMA
2025-05-26 03:57:05,196 - Spot Price: 25029.8, Supertrend: Green, Above EMA
2025-05-26 03:57:36,949 - Spot Price: 25033.9, Supertrend: Green, Above EMA
2025-05-26 03:58:08,015 - Spot Price: 25032.15, Supertrend: Green, Above EMA
2025-05-26 03:58:39,028 - Spot Price: 25037.6, Supertrend: Green, Above EMA
2025-05-26 03:59:10,255 - Spot Price: 25042.35, Supertrend: Green, Above EMA
2025-05-26 03:59:41,287 - Spot Price: 25032.85, Supertrend: Green, Above EMA
2025-05-26 04:00:12,434 - Spot Price: 25036.8, Supertrend: Green, Above EMA
2025-05-26 04:00:43,738 - Spot Price: 25036.25, Supertrend: Green, Above EMA
2025-05-26 04:01:15,035 - Spot Price: 25052.15, Supertrend: Green, Above EMA
2025-05-26 04:01:46,089 - Spot Price: 25047.55, Supertrend: Green, Above EMA
2025-05-26 04:02:17,299 - Spot Price: 25035.55, Supertrend: Green, Above EMA
2025-05-26 04:02:49,794 - Spot Price: 25044.35, Supertrend: Green, Above EMA
2025-05-26 04:03:20,866 - Spot Price: 25046.5, Supertrend: Green, Above EMA
2025-05-26 04:03:53,607 - Spot Price: 25046.1, Supertrend: Green, Above EMA
2025-05-26 04:04:24,637 - Spot Price: 25038.6, Supertrend: Green, Above EMA
2025-05-26 04:04:55,820 - Spot Price: 25043.3, Supertrend: Green, Above EMA
2025-05-26 04:05:26,829 - Spot Price: 25045.1, Supertrend: Green, Above EMA
2025-05-26 04:05:57,896 - Spot Price: 25046.55, Supertrend: Green, Above EMA
2025-05-26 04:06:29,131 - Spot Price: 25030.1, Supertrend: Green, Above EMA
2025-05-26 04:07:00,276 - Spot Price: 25037.9, Supertrend: Green, Above EMA
2025-05-26 04:07:31,315 - Spot Price: 25040.3, Supertrend: Green, Above EMA
2025-05-26 04:08:02,601 - Spot Price: 25036.4, Supertrend: Green, Above EMA
